name,age,net_worth,company,country,industry,education,philanthropy,private_jet,yacht
Alicea Johansson,74,Euro,Eazzy,France,finance,bachelor's degree,false,true,true
Sybyl Hounsom,62,Hryvnia,Tekfly,Ukraine,real estate,master's degree,false,false,false
Viviyan Chewter,71,Krona,Fanoodle,Sweden,finance,high school diploma,true,true,true
Kissie Oakeby,81,Ruble,Trilia,Russia,retail,PhD,false,false,false
Clementina Atkinson,80,Peso,Fliptune,Philippines,real estate,master's degree,true,false,false
Keene Sly,77,Rand,Midel,South Africa,retail,PhD,false,true,false
Alene Ganing,45,Dong,Fatz,Vietnam,technology,PhD,false,true,true
Ulberto Doeg,78,Dollar,Livefish,United States,real estate,master's degree,true,true,true
Pamella MacKenny,79,Peso,Cogilith,Argentina,retail,PhD,true,false,true
Harbert Forstall,42,Yuan Renminbi,Dazzlesphere,China,finance,bachelor's degree,false,true,true
Jaime Plank,32,Franc,Meevee,Burkina Faso,retail,high school diploma,false,true,false
Marcelia Tams,47,Yuan Renminbi,Jabberbean,China,technology,PhD,false,true,false
Cacilia Leech,58,Peso,Skimia,Colombia,technology,high school diploma,true,false,false
Pearle Radley,54,Marka,Bluejam,Bosnia and Herzegovina,technology,PhD,true,false,true
Garwood Yurin,43,Peso,Shufflebeat,Mexico,real estate,high school diploma,true,false,false
Archibald Petrenko,70,Ruble,Miboo,Russia,retail,bachelor's degree,false,true,false
Etty Tollerfield,41,Ruble,Yoveo,Russia,technology,bachelor's degree,false,false,true
Rockwell Aiskovitch,57,Rupiah,Quimm,Indonesia,retail,master's degree,true,false,true
Aubrie Kearn,51,Rupiah,Tavu,Indonesia,real estate,high school diploma,false,true,false
Margaret Hairon,30,Rupiah,Vipe,Indonesia,real estate,PhD,false,true,false
Kelbee Whitsun,85,Ruble,Livetube,Russia,finance,master's degree,false,true,true
Christean Stanger,43,Baht,Rhynoodle,Thailand,retail,bachelor's degree,false,false,false
Terese Woolmington,57,Peso,Realbridge,Philippines,technology,PhD,false,true,true
Chadd Ashford,55,Sol,Quinu,Peru,real estate,bachelor's degree,false,false,true
Sidnee Kmicicki,80,Baht,Tavu,Thailand,technology,bachelor's degree,true,true,false
Teddy Vickerman,81,Yuan Renminbi,Leenti,China,technology,high school diploma,true,true,false
Bennett Dymidowski,41,Sol,Omba,Peru,technology,high school diploma,true,false,true
Emmeline Labbez,38,Real,Zoomlounge,Brazil,retail,bachelor's degree,true,true,false
Fayina Dupoy,90,Yuan Renminbi,Flipstorm,China,finance,bachelor's degree,false,true,true
Phyllys Dunham,52,Yuan Renminbi,Oyonder,China,real estate,bachelor's degree,true,true,true
Charla Garbert,55,Boliviano,Dynazzy,Bolivia,technology,high school diploma,false,true,false
Hedy Signore,85,Euro,Skynoodle,France,technology,bachelor's degree,true,true,false
Stephen Winchcombe,30,Rupiah,Rhyloo,Indonesia,real estate,bachelor's degree,true,true,false
Gene Longhurst,41,Hryvnia,Podcat,Ukraine,real estate,master's degree,false,false,false
Brietta Mantripp,36,Yuan Renminbi,Shuffletag,China,retail,bachelor's degree,false,false,false
Bennett Swatman,74,Yuan Renminbi,Dynabox,China,retail,high school diploma,false,false,true
Nicholas Donnellan,51,Yuan Renminbi,Skidoo,China,retail,high school diploma,true,false,false
Maren Turbat,72,Peso,Riffwire,Philippines,retail,PhD,true,true,false
Marcia Rowden,74,Kuna,Eazzy,Croatia,finance,master's degree,false,true,false
Muffin Proschke,59,Yuan Renminbi,Jabbertype,China,real estate,PhD,true,false,false
Fayre Garroch,42,Shekel,Kaymbo,Palestinian Territory,technology,bachelor's degree,true,false,false
Forester Gallaher,67,Zloty,Twiyo,Poland,real estate,bachelor's degree,false,true,false
Lucienne Paintain,35,Shilling,Photojam,Tanzania,technology,PhD,true,false,false
Dinah De Moreno,84,Koruna,Wikivu,Czech Republic,retail,bachelor's degree,false,false,false
Ravi Gudd,54,Yuan Renminbi,Twitterbridge,China,real estate,master's degree,false,false,true
Bernadine Haggeth,46,Peso,Zoombox,Philippines,finance,high school diploma,true,true,true
Alwyn Bridgland,57,Peso,Blogtag,Philippines,real estate,master's degree,false,true,false
Penelope Creighton,40,Krona,Brainsphere,Sweden,technology,master's degree,false,true,false
Brigitte Cheyney,58,Real,Yakijo,Brazil,finance,master's degree,false,true,true
Freddi Di Lucia,76,Baht,Ooba,Thailand,finance,bachelor's degree,true,true,true
Mickey Bedingfield,69,Dollar,Skimia,United States,finance,PhD,true,true,true
Myles Petegrew,54,Ruble,JumpXS,Russia,retail,bachelor's degree,true,true,false
Marcia Mulberry,37,Yuan Renminbi,Meevee,China,real estate,master's degree,true,false,false
Mill Honeyghan,55,Peso,Skyvu,Mexico,real estate,bachelor's degree,false,true,false
Chucho Lunnon,70,Ruble,Mybuzz,Russia,technology,bachelor's degree,false,false,false
Kane Juza,76,Peso,Rhyloo,Mexico,retail,high school diploma,true,false,false
Merrili Muckian,76,Franc,Aimbu,Senegal,finance,bachelor's degree,true,false,true
Layla Thacke,86,Euro,Vinder,France,retail,PhD,true,true,false
Tracie Riep,40,Guarani,Skyble,Paraguay,technology,PhD,false,false,true
Christye Reinhardt,34,Euro,Thoughtstorm,Greece,real estate,high school diploma,true,true,false
Killie Flory,79,Yuan Renminbi,Browsetype,China,finance,master's degree,false,true,true
Ciel Lesurf,73,Zloty,Cogibox,Poland,retail,bachelor's degree,false,true,false
Trudi Shropsheir,48,Euro,Vimbo,Netherlands,real estate,bachelor's degree,false,false,false
Catha Kibbye,38,Euro,Cogibox,Portugal,technology,PhD,false,true,false
Royall Inkpin,41,Koruna,Realpoint,Czech Republic,retail,PhD,false,false,false
Miltie Purbrick,83,Dollar,Youfeed,Saint Lucia,real estate,master's degree,false,false,false
Levin Vankov,50,Yuan Renminbi,Browsebug,China,finance,master's degree,false,true,false
Vivi Garcia,40,Yuan Renminbi,Yotz,China,real estate,master's degree,false,true,false
Dario Hedderly,63,Rupiah,Realcube,Indonesia,technology,master's degree,false,false,false
Evita Bambra,72,Franc,Avamm,Democratic Republic of the Congo,real estate,master's degree,false,false,false
Johnathon Borth,53,Quetzal,Blogpad,Guatemala,technology,bachelor's degree,false,false,true
Devin Latchford,35,Dram,Fatz,Armenia,technology,bachelor's degree,true,true,false
Rosamund Fice,36,Sol,Browseblab,Peru,real estate,high school diploma,false,false,true
Emlen Card,52,Euro,Tazz,Finland,technology,bachelor's degree,true,false,true
Dennie Housbey,85,Real,Bluezoom,Brazil,technology,high school diploma,false,false,false
Jaclyn Jaggard,47,Peso,Babbleset,Philippines,technology,high school diploma,false,true,true
Ulrikaumeko Basso,87,Peso,Cogidoo,Argentina,real estate,master's degree,false,true,true
Jerry Lerner,77,Real,Devpoint,Brazil,technology,master's degree,true,false,true
Hall Rabb,87,Baht,Youspan,Thailand,retail,master's degree,false,false,false
Maribelle Rolfi,81,Rupiah,Vidoo,Indonesia,retail,PhD,false,false,false
Reese Abdon,58,Yuan Renminbi,Oyoyo,China,finance,master's degree,false,false,false
Philis Boylund,42,Dollar,Thoughtbeat,El Salvador,technology,master's degree,true,false,true
Isobel Balogun,40,Naira,Kare,Nigeria,retail,master's degree,true,false,false
Johan Haggata,78,Krone,Trilia,Norway,retail,master's degree,true,true,false
Sidney Westby,43,Yen,Wordify,Japan,retail,master's degree,true,true,true
Wrennie Rawsthorne,36,Dollar,Miboo,United States,retail,master's degree,true,false,false
Jeanna Padbury,90,Yuan Renminbi,Lazzy,China,technology,bachelor's degree,false,true,false
Antin Hickisson,51,Yuan Renminbi,Photobug,China,real estate,PhD,false,false,false
Carree Itschakov,53,Koruna,Rhynoodle,Czech Republic,real estate,master's degree,false,true,true
Leta Lawranson,83,Euro,Gigaclub,Portugal,real estate,master's degree,true,true,true
Garrott Kenlin,64,Rial,LiveZ,Yemen,real estate,bachelor's degree,false,true,false
Frannie Greenhead,65,Rupiah,Gabcube,Indonesia,real estate,master's degree,false,true,true
Jacqueline Fossick,67,Krona,Wikivu,Sweden,real estate,bachelor's degree,false,false,false
Jen Bengtsson,58,Peso,Eadel,Colombia,real estate,master's degree,false,true,true
Mickie Gason,79,Peso,Shuffletag,Chile,retail,PhD,true,false,true
Chaddie Epinay,66,Shilling,Babblestorm,Tanzania,retail,master's degree,false,false,false
Neils Goford,43,Real,Agivu,Brazil,real estate,master's degree,true,false,true
Berky Basten,87,Rand,Ntags,South Africa,real estate,bachelor's degree,true,true,false
Anallise Wells,72,Rupiah,Brightbean,Indonesia,real estate,PhD,true,false,false
Curr Simukov,44,Ruble,Zooveo,Russia,real estate,high school diploma,true,false,false
Loni Coverly,69,Ruble,Mybuzz,Russia,real estate,high school diploma,true,false,true
Virgil Wreakes,54,Ringgit,Thoughtsphere,Malaysia,real estate,bachelor's degree,true,false,true
Peirce Busse,84,Yuan Renminbi,Gevee,China,technology,PhD,true,false,true
Dell Gouldthorp,72,Ruble,Kazio,Russia,real estate,PhD,false,true,true
Adair Peverell,40,Ruble,Leexo,Russia,finance,master's degree,true,true,true
Alexio Odom,45,Shilling,Mita,Uganda,real estate,master's degree,true,false,true
Janine McIlwaine,84,Euro,Meejo,France,finance,bachelor's degree,false,false,true
Leyla Yakovitch,60,Peso,Avavee,Argentina,retail,high school diploma,true,true,true
Currie Attlee,41,Rupiah,Myworks,Indonesia,finance,high school diploma,false,true,true
Olia Macari,80,Euro,Yakidoo,Portugal,real estate,bachelor's degree,true,true,true
Mordecai Despenser,36,Rupiah,Edgeblab,Indonesia,technology,bachelor's degree,true,true,true
Margarethe Boag,56,Euro,Edgeblab,Portugal,technology,master's degree,false,false,true
Deena Wilkison,46,Euro,Gabcube,France,real estate,bachelor's degree,false,false,true
Jereme Zarb,55,Yuan Renminbi,Yamia,China,retail,PhD,true,true,true
Bron Corbert,64,Yuan Renminbi,Topicstorm,China,real estate,bachelor's degree,false,false,true
Cherrita Roiz,32,Euro,Bluejam,Portugal,technology,bachelor's degree,true,true,false
Frasco Rogge,62,Ruble,Jaloo,Russia,real estate,PhD,true,false,false
Wren Broomer,59,Dollar,Jaloo,United States,finance,high school diploma,false,true,true
Orson Hutton,89,Dinar,Zava,Libya,finance,bachelor's degree,true,true,false
Verine Boydle,54,Euro,Podcat,Portugal,finance,PhD,true,true,false
Elwood Cordel,89,Zloty,Quamba,Poland,retail,bachelor's degree,true,false,false
Danny Merill,65,Yuan Renminbi,Skidoo,China,real estate,PhD,true,false,false
Sibley Bendle,31,Euro,Jayo,France,technology,PhD,false,true,false
Hermann Paff,34,Euro,Linktype,France,technology,master's degree,false,true,false
Arnoldo Jezzard,67,Dollar,Wikido,Canada,technology,PhD,true,false,false
Rollie Viner,58,Euro,Twimm,Portugal,technology,high school diploma,false,true,true
Ignazio Phillippo,30,Rupiah,Kayveo,Indonesia,retail,master's degree,true,true,true
Elva Stening,32,Yuan Renminbi,Yata,China,technology,master's degree,false,false,true
Rodrigo Kristoffersson,51,Rupiah,Jabbertype,Indonesia,technology,master's degree,true,false,true
Sunny Winckles,67,Franc,Wikizz,Switzerland,retail,PhD,true,true,false
Jobyna Dakhov,57,Euro,Divape,France,real estate,master's degree,false,false,true
Hannah Joska,36,Sol,Realfire,Peru,technology,PhD,false,true,false
Willie Hatcliffe,30,Dollar,Flipbug,United States,finance,PhD,false,true,false
Cristionna Galiford,35,Peso,Photospace,Philippines,retail,PhD,false,true,true
Vally Stirman,50,Rupiah,Fiveclub,Indonesia,technology,high school diploma,true,true,false
Valencia Sworne,61,Dollar,Leexo,Zimbabwe,real estate,PhD,true,true,true
Taylor Gosart,44,Lek,Skinder,Albania,finance,PhD,true,true,false
Gizela Giovannazzi,32,Rupiah,Zoomlounge,Indonesia,technology,bachelor's degree,false,false,false
Tris Drakes,67,Real,Livepath,Brazil,technology,PhD,false,true,true
Kendall Coghlan,35,Dollar,Ooba,United States,retail,high school diploma,true,true,true
Lois Ivakin,33,Euro,Voomm,Portugal,retail,PhD,true,true,true
Lula Wike,62,Yuan Renminbi,Centimia,China,finance,master's degree,true,false,false
Malissia Petrusch,45,Koruna,Fliptune,Czech Republic,technology,high school diploma,false,true,true
Fredelia L'Hommee,87,Balboa,Devpulse,Panama,real estate,PhD,false,false,false
Marylee Bodell,71,Euro,Oodoo,Spain,retail,high school diploma,true,false,true
Wittie Bladge,80,Yuan Renminbi,Eimbee,China,retail,bachelor's degree,true,true,false
Hobey MacCumiskey,78,Euro,Browsedrive,France,retail,PhD,false,true,false
Chandler Mowsdell,63,Ruble,Yodoo,Russia,real estate,high school diploma,true,true,true
Marj Kineton,72,Rand,Kwideo,South Africa,technology,PhD,false,true,true
Rhona Lawerence,36,Zloty,Oloo,Poland,retail,high school diploma,true,true,true
Carlene Brosoli,81,Peso,Shuffledrive,Philippines,technology,master's degree,false,true,false
Gareth Couzens,37,Ariary,Babblestorm,Madagascar,real estate,bachelor's degree,false,true,true
Charmion Hearson,75,Euro,Jamia,Portugal,technology,master's degree,true,true,false
Dav Urpeth,51,Yuan Renminbi,Twinder,China,retail,bachelor's degree,true,true,true
Tara Roglieri,58,Rupee,Thoughtblab,Sri Lanka,technology,bachelor's degree,true,false,false
Vernice McDaid,43,Peso,Aivee,Mexico,technology,bachelor's degree,true,true,false
Andreana Helling,86,Gourde,Voonder,Haiti,retail,PhD,true,true,true
Lisetta Matei,47,Yuan Renminbi,Kaymbo,China,technology,high school diploma,false,true,false
Arch Yerrill,74,Ruble,Dazzlesphere,Russia,retail,master's degree,false,true,true
Faythe Brody,49,Pula,Oyoyo,Botswana,finance,high school diploma,true,true,false
Waylon Abramowsky,31,Yuan Renminbi,Thoughtbeat,China,finance,bachelor's degree,true,true,false
Lexine Haggish,36,Rupiah,Skajo,Indonesia,real estate,master's degree,true,false,true
Ernie Moden,64,Rupiah,Realmix,Indonesia,real estate,PhD,true,true,true
Rorke Broadhead,47,Euro,Skinte,Spain,real estate,PhD,true,false,false
Johnny Barwise,61,Bolivar,Ainyx,Venezuela,retail,high school diploma,false,true,false
Newton Offiler,38,Peso,Mymm,Mexico,real estate,PhD,true,false,false
Marten Okenden,83,Yuan Renminbi,Ozu,China,finance,high school diploma,true,true,false
Frederik Donke,68,Lempira,Tazz,Honduras,finance,master's degree,false,true,false
Stillman McCraine,79,Ruble,Roomm,Russia,real estate,master's degree,false,false,true
Karalee Gammons,86,Rupiah,Photobug,Indonesia,technology,high school diploma,false,true,false
Teodoor Ridings,78,Sol,Myworks,Peru,retail,master's degree,true,false,true
Isadore Bowller,39,Yuan Renminbi,Topiclounge,China,finance,PhD,false,false,true
Zachariah Redhills,89,Dollar,Camido,Canada,finance,PhD,false,false,true
Kasey Lowerson,70,Euro,Skipfire,Portugal,technology,master's degree,false,true,true
Burton Tibbits,37,Peso,Dabshots,Argentina,technology,PhD,true,false,false
Karen Woodnutt,45,Yuan Renminbi,Chatterbridge,China,retail,bachelor's degree,true,true,false
Thaddus Kinworthy,68,Rupiah,Quaxo,Indonesia,finance,PhD,false,false,true
Brander Abba,52,Euro,Devpulse,Portugal,technology,bachelor's degree,false,false,false
Kin Kort,64,Taka,Plambee,Bangladesh,finance,master's degree,false,false,false
Maximo Pontefract,75,Rupiah,Oyope,Indonesia,real estate,master's degree,false,false,false
Kendell Sarchwell,73,Peso,Jatri,Philippines,finance,bachelor's degree,false,false,false
Eal Brimson,68,Krona,Mydeo,Sweden,technology,master's degree,true,false,false
Issi Foulger,38,Rupiah,Yotz,Indonesia,real estate,high school diploma,false,true,false
Ricoriki Gockelen,76,Yuan Renminbi,Buzzdog,China,retail,high school diploma,true,false,true
Aggy Canner,76,Real,Yacero,Brazil,technology,high school diploma,true,false,true
Loy Bovaird,75,Peso,Devpulse,Philippines,retail,high school diploma,true,true,true
Gavan Axton,85,Yuan Renminbi,Mynte,China,finance,PhD,true,true,false
Guthrey Vedeniktov,53,Dram,Tagtune,Armenia,real estate,master's degree,true,true,false
Lonny Karolewski,54,Zloty,Buzzbean,Poland,real estate,bachelor's degree,true,false,true
Kliment Idle,57,Pound,Trupe,United Kingdom,real estate,PhD,true,true,false
Theresa Darlaston,85,Franc,Oyoba,Mali,finance,bachelor's degree,true,false,false
Thatch Ansley,88,Ruble,Camimbo,Belarus,finance,master's degree,true,false,false
Cory Laffan,72,Yuan Renminbi,Photofeed,China,technology,bachelor's degree,false,true,false
Teresa Mervyn,31,Baht,Youspan,Thailand,retail,bachelor's degree,false,false,false
Gardener Kobierzycki,51,Baht,Realbuzz,Thailand,retail,bachelor's degree,true,true,false
Kelcie Gascone,60,Dollar,Skinix,Canada,technology,PhD,false,false,true
Barrie Glover,32,Euro,Photobean,Finland,retail,master's degree,true,true,true
Zulema Huyton,58,Krona,Meevee,Sweden,retail,bachelor's degree,false,false,false
Joya Shory,40,Rupiah,Tazzy,Indonesia,technology,bachelor's degree,true,false,false
Odetta Mathe,47,Yen,Gabcube,Japan,finance,PhD,true,false,false
Baudoin Basile,82,Shekel,InnoZ,Palestinian Territory,technology,high school diploma,false,true,false
Ly Gambie,45,Yuan Renminbi,Jaxspan,China,finance,PhD,false,true,false
Marshal Clutheram,31,Rupiah,Nlounge,Indonesia,finance,high school diploma,true,true,true
Dimitri Manley,41,Rupiah,Buzzbean,Indonesia,finance,PhD,true,true,false
Demetrius Godsal,83,Yuan Renminbi,Oyonder,China,real estate,master's degree,true,true,true
Lucina Jarad,77,Pound,Twitterwire,South Sudan,technology,master's degree,true,false,false
Valery Tchaikovsky,64,Peso,Jazzy,Uruguay,finance,master's degree,true,false,true
Jeremias Brimming,62,Yuan Renminbi,Voonyx,China,finance,bachelor's degree,true,false,false
Jacinthe Bedle,47,Zloty,Quimm,Poland,real estate,bachelor's degree,true,false,true
Jerrylee Crewdson,51,Dollar,Avamba,El Salvador,technology,PhD,false,false,true
Arty Brushfield,66,Zloty,Kimia,Poland,finance,master's degree,true,false,true
Camella Nary,75,Euro,Skipfire,Slovenia,real estate,master's degree,true,false,true
Alica Cattlow,53,Yuan Renminbi,Dynabox,China,retail,high school diploma,false,false,false
Deni Dwire,35,Yuan Renminbi,Skaboo,China,technology,PhD,true,true,true
Burnaby Jepperson,38,Rupiah,Dazzlesphere,Indonesia,technology,master's degree,true,true,true
Shepperd Simeone,67,Dollar,Photofeed,United States,real estate,master's degree,false,false,false
Hank Ost,82,Dram,Zoomzone,Armenia,finance,bachelor's degree,true,true,true
Carilyn Bragginton,41,Euro,Fivespan,Netherlands,technology,high school diploma,true,false,false
Karalynn Hampe,67,Euro,Demimbu,Portugal,technology,PhD,true,true,true
Daria Pheasey,83,Rupiah,Jabbercube,Indonesia,real estate,high school diploma,false,false,false
Paule Scraney,37,Euro,Buzzster,Greece,finance,master's degree,false,false,true
Elysia Ossulton,57,Peso,Rooxo,Philippines,technology,bachelor's degree,true,true,true
Phylis Lumly,32,Rupiah,Jabbercube,Indonesia,technology,master's degree,false,true,false
Asher Ruddom,64,Rial,JumpXS,Iran,retail,bachelor's degree,false,false,false
Kin Shercliff,58,Zloty,Vimbo,Poland,real estate,bachelor's degree,false,false,true
Etti McKirdy,72,Rupiah,Topiclounge,Indonesia,retail,bachelor's degree,false,true,false
Hernando Warrillow,46,Ruble,Quire,Russia,finance,high school diploma,false,false,true
Lorenza Pellamonuten,35,Manat,Skipstorm,Azerbaijan,retail,PhD,true,true,false
Albina Janaway,87,Rupiah,Jabbersphere,Indonesia,technology,high school diploma,false,false,false
Milly Rentoll,30,Euro,Dabvine,Greece,retail,master's degree,false,false,false
Max Prewer,85,Euro,Youbridge,Spain,retail,master's degree,false,true,false
Gay Stedmond,68,Peso,Youtags,Philippines,retail,master's degree,false,true,true
Tucker Roncelli,72,Yuan Renminbi,Gigabox,China,technology,PhD,false,false,false
Darcie Ingarfield,62,Euro,Twiyo,Finland,retail,high school diploma,false,true,false
Adoree Oleszcuk,53,Ruble,Fliptune,Russia,technology,master's degree,false,true,true
Kettie Abethell,61,Baht,Jayo,Thailand,retail,high school diploma,true,true,false
Kippy MacAiline,65,Zloty,Omba,Poland,finance,bachelor's degree,false,false,true
Desiri Stretton,42,Peso,Fatz,Philippines,finance,master's degree,false,true,true
Aarika Drynan,75,Franc,Yambee,Cameroon,real estate,bachelor's degree,false,false,true
Correna Jude,75,Yuan Renminbi,Aivee,China,technology,bachelor's degree,true,true,false
Sophronia Ethridge,34,Peso,Thoughtmix,Philippines,retail,high school diploma,false,true,true
Lovell Larmett,76,Yuan Renminbi,Jabbertype,China,finance,PhD,true,true,false
Alphard Kops,44,Peso,Topicstorm,Argentina,technology,PhD,false,false,true
Stanton Fawson,86,Taka,Flipbug,Bangladesh,finance,high school diploma,false,true,true
Shayna Posen,56,Euro,Ainyx,France,technology,master's degree,true,true,false
Fionna Desporte,62,Dollar,Flashset,Australia,finance,master's degree,true,false,true
Maggie McClinton,34,Peso,Trilia,Philippines,real estate,PhD,true,false,false
Moises Kacheler,74,Rupiah,Jabberstorm,Indonesia,finance,PhD,true,true,true
Missy Collete,77,Yuan Renminbi,Feednation,China,retail,master's degree,true,false,true
Serena McClay,70,Lek,Vinder,Albania,technology,master's degree,false,false,false
Kai Carnegy,35,Franc,Rhynyx,Central African Republic,retail,PhD,true,false,true
Alvera Applewhite,52,Ruble,Thoughtblab,Russia,technology,bachelor's degree,true,true,false
Celka Dunan,42,Koruna,Yodoo,Czech Republic,finance,high school diploma,false,true,false
Bertie Grestie,36,Rupiah,Skyba,Indonesia,retail,high school diploma,false,true,true
Tiena Yousef,88,Sol,Eazzy,Peru,real estate,bachelor's degree,false,true,false
Mina Landreth,30,Yuan Renminbi,Youspan,China,technology,bachelor's degree,false,false,false
Cully Jesse,87,Som,Skajo,Uzbekistan,technology,high school diploma,false,true,false
Kippie O' Dooley,30,Yuan Renminbi,Bubblebox,China,retail,PhD,false,true,true
Kile Shirtliff,48,Peso,Lazz,Cuba,real estate,bachelor's degree,true,true,false
Alonzo MacRory,73,Dollar,Kwideo,Canada,technology,master's degree,true,true,true
Christin Childrens,86,Rupiah,Quatz,Indonesia,finance,bachelor's degree,true,false,false
Fiona Stanbra,80,Gourde,Camimbo,Haiti,real estate,master's degree,true,false,false
Tonnie Reichhardt,54,Yen,Chatterbridge,Japan,retail,PhD,true,false,true
Mavis Vernalls,33,Real,Vinder,Brazil,real estate,high school diploma,true,true,true
Benedikt Henniger,42,Rupiah,Devpulse,Indonesia,technology,bachelor's degree,false,true,false
Merna Grinter,38,Dong,Oyoba,Vietnam,retail,PhD,false,true,true
Roby MacCarlich,61,Euro,Vimbo,France,real estate,high school diploma,true,true,true
Madelyn Lewsie,66,Rupiah,Riffpath,Indonesia,real estate,PhD,false,true,true
Brockie Grime,76,Euro,Yabox,Portugal,real estate,bachelor's degree,true,false,false
Verile Harragin,44,Zloty,Skibox,Poland,real estate,master's degree,false,false,false
Suzy Stanners,30,Dollar,Jabbersphere,United States,finance,PhD,true,false,false
Sebastian Carleman,44,Euro,Cogibox,Portugal,finance,bachelor's degree,true,false,false
Wandie Happert,50,Yuan Renminbi,Roombo,China,real estate,bachelor's degree,false,false,true
Avrom Vann,69,Rand,Dabtype,South Africa,finance,PhD,false,true,false
Odelia Steer,48,Koruna,Yodoo,Czech Republic,technology,PhD,true,true,true
Pierrette Poundsford,53,Peso,Dabtype,Philippines,retail,PhD,false,false,true
Barn Proughten,88,Yuan Renminbi,Thoughtbridge,China,technology,master's degree,false,false,false
Ashly Jakubowicz,66,Krona,Cogibox,Sweden,finance,high school diploma,false,true,false
Stefanie Edgson,78,Yuan Renminbi,Tagpad,China,real estate,PhD,true,true,true
Juliana Simnett,34,Baht,Meejo,Thailand,retail,PhD,false,false,false
Ignace O'Spillane,90,Yuan Renminbi,Kimia,China,technology,high school diploma,false,false,false
Laurie Goranov,82,Rupiah,Twitterwire,Indonesia,retail,bachelor's degree,true,true,false
Ernestus McCoughan,58,Yuan Renminbi,Zoovu,China,finance,PhD,false,true,true
Gaultiero Jobern,84,Peso,Babbleblab,Mexico,retail,PhD,false,true,true
Logan Danielsson,63,Dollar,Devshare,Liberia,real estate,high school diploma,true,true,false
Delmor Swedeland,81,Yen,Jaxspan,Japan,finance,bachelor's degree,false,true,false
Jessika Ivannikov,31,Real,Chatterpoint,Brazil,retail,master's degree,true,true,true
Sella Deschelle,89,Rupiah,Yambee,Indonesia,real estate,bachelor's degree,true,true,false
Jean Rousell,74,Colon,Twitterlist,Costa Rica,technology,PhD,true,false,true
Dur Bownes,55,Franc,Demimbu,Chad,technology,PhD,false,true,true
Koren Tranmer,90,Lek,Wordware,Albania,finance,master's degree,false,true,false
Gal Andrin,89,Yuan Renminbi,Quimba,China,retail,PhD,true,true,true
Karlens Kearey,51,Yuan Renminbi,Skibox,China,real estate,bachelor's degree,true,false,true
Cathlene Benda,61,Rupiah,Kwimbee,Indonesia,retail,high school diploma,true,true,true
Agatha Callow,75,Euro,Pixope,Greece,real estate,master's degree,true,false,true
Augusta Mapston,50,Lev,Gevee,Bulgaria,technology,bachelor's degree,true,false,false
Calli Wingar,48,Naira,Pixoboo,Nigeria,retail,bachelor's degree,true,true,false
Thadeus Igounet,32,Rial,Wikibox,Iran,real estate,master's degree,true,false,true
Ilise Pottes,31,Rupiah,Brightbean,Indonesia,finance,bachelor's degree,false,true,false
Tedra O'Cahsedy,69,Peso,Shufflebeat,Mexico,technology,master's degree,false,false,true
Cletus Pimme,68,Euro,Tagtune,Finland,technology,high school diploma,true,false,true
Leeland Bampfield,48,Peso,Browsedrive,Mexico,retail,PhD,false,true,true
Shirline Asple,90,Euro,Jabbersphere,Greece,retail,bachelor's degree,false,true,false
Kelci Underwood,43,Rupiah,Kwimbee,Indonesia,finance,PhD,true,true,false
Jamil Tuer,75,Real,Zoombox,Brazil,real estate,master's degree,true,true,false
Kass Glossup,57,Dong,Skivee,Vietnam,retail,PhD,true,false,true
Quincy Pirdue,76,Peso,Einti,Philippines,retail,high school diploma,false,true,true
Eugenie Boycott,84,Peso,Photojam,Cuba,finance,master's degree,false,false,true
Dulcine Killik,48,Yen,Quimba,Japan,technology,high school diploma,true,false,false
Roxine Fussell,47,Koruna,Twitterbeat,Czech Republic,real estate,bachelor's degree,true,false,true
Gerhard Camber,81,Peso,Oodoo,Philippines,technology,master's degree,true,false,true
Eustacia Gouth,38,Yuan Renminbi,Edgeblab,China,technology,PhD,false,true,true
Emmey Ayshford,76,Yuan Renminbi,Meevee,China,technology,bachelor's degree,false,true,true
Alvy Weatherill,35,Peso,Dablist,Philippines,real estate,high school diploma,false,true,true
Lowell Spirritt,30,Rupiah,Photospace,Indonesia,technology,bachelor's degree,false,false,true
Griselda Swansbury,79,Dirham,Oyoyo,Morocco,technology,high school diploma,true,true,false
Suellen Eliasen,68,Euro,Vimbo,France,real estate,bachelor's degree,true,true,false
Lucille Prosek,43,Dinar,Trunyx,Serbia,technology,PhD,true,true,true
Lorant Dougharty,83,Yuan Renminbi,Mycat,China,finance,high school diploma,true,false,false
Kala Burnes,85,Rupiah,Photojam,Indonesia,technology,bachelor's degree,false,false,false
Elijah Fayter,39,Peso,Flashdog,Philippines,technology,master's degree,false,false,true
Olympie Benduhn,40,Krona,Skivee,Sweden,real estate,bachelor's degree,true,true,true
Carroll Ascraft,67,Dollar,Oyope,Canada,finance,PhD,true,true,true
Goldi Obell,42,Zloty,Skiba,Poland,technology,high school diploma,true,false,true
Redford Cawker,45,Rupiah,Twinte,Indonesia,finance,master's degree,false,false,false
Sheff Pude,32,Peso,Ooba,Argentina,real estate,bachelor's degree,true,false,false
Reggie Ridge,63,Peso,Wordware,Argentina,finance,PhD,false,true,true
Cammi Handrick,31,Rupiah,Photobug,Indonesia,real estate,PhD,true,false,false
Veda Pettitt,54,Marka,Mynte,Bosnia and Herzegovina,retail,master's degree,false,false,true
Candice McCurt,80,Rial,Dabfeed,Iran,technology,master's degree,false,true,false
